# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.477600527,0.39924915,6.037075632,6.106088371
-5.263455314,2.715849483,6.061879218,6.070192452
-5.048898585,5.032177004,6.086645554,6.033511118
-4.833933812,7.348233533,6.11097833,5.997265306
-4.618564467,9.664020893,6.134881187,5.961451352
-4.402794023,11.97954091,6.158357767,5.934812662
-4.18662595,14.29479539,6.181411713,5.911643642
-3.970063723,16.60978618,6.204046666,5.888894194
-3.753110811,18.92451508,6.226266268,5.866560668
-3.535770689,21.23898393,6.24807416,5.844639413
-3.318046828,23.55319453,6.269473983,5.823126777
-3.099942699,25.86714872,6.290469379,5.80201911
-2.881461776,28.18084832,6.311063988,5.781312762
-2.66260753,30.49429514,6.331261451,5.761004081
-2.443383433,32.80749102,6.35106541,5.741089418
-2.223792958,35.12043777,6.370479503,5.721565124
-2.003839576,37.43313721,6.389507373,5.702427548
-1.783526761,39.74559116,6.408152658,5.683673041
-1.562857983,42.05780146,6.426419,5.665297954
-1.341836715,44.36976992,6.444310037,5.647298638
-1.12046643,46.68149835,6.461829411,5.629671444
-0.898750599,48.99298859,6.47898076,5.612412723
-0.676692694,51.30424246,6.495560141,5.595518828
-0.454296188,53.61526177,6.509091595,5.578986109
-0.231564553,55.92604836,6.522266191,5.562810919
-0.00850126,58.23660403,6.535087566,5.54698961
0.214890218,60.54693062,6.547559357,5.531518534
0.438606408,62.85702994,6.5596852,5.516394044
0.662643839,65.16690383,6.571468732,5.501612491
0.886999039,67.47655409,6.582913591,5.48717023
1.111668535,69.78598255,6.594023413,5.473063612
1.336648856,72.09519103,6.604801833,5.459288991
1.561936529,74.40418136,6.61525249,5.44584272
1.787528082,76.71295536,6.625379018,5.432721153
2.013420043,79.02151484,6.635185056,5.419920642
2.23960894,81.32986164,6.644674238,5.411176212
2.466091301,83.63799757,6.653850202,5.402831788
2.692863653,85.94592445,6.662716584,5.394797164
2.919922525,88.25364411,6.671277019,5.387068695
3.147264444,90.56115837,6.679535145,5.37964274
3.374885938,92.86846905,6.687494598,5.372515656
3.602783535,95.17557797,6.695159014,5.365683799
3.830953764,97.48248696,6.702532028,5.359143527
4.059393151,99.78919783,6.709617278,5.352891198
4.288098224,102.0957124,6.7164184,5.346923169
4.517065513,104.4020325,6.722939029,5.341235798
4.746291543,106.70816,6.729182802,5.335825442
4.975772844,109.0140966,6.735153355,5.330688459
5.205505943,111.3198442,6.740854324,5.325821207
5.435487368,113.6254047,6.746289346,5.321220045
5.665713647,115.9307798,6.751462056,5.31683984
5.896181308,118.2359713,6.756376091,5.31254954
6.126886879,120.5409812,6.761035087,5.308514419
6.357826886,122.8458111,6.76544268,5.304730834
6.58899786,125.150463,6.769602507,5.301195144
6.820396326,127.4549386,6.773518203,5.297903707
7.052018814,129.7592398,6.777193405,5.294852882
7.28386185,132.0633684,6.780631749,5.292039027
7.515921964,134.3673262,6.783836872,5.289458499
7.748195682,136.671115,6.786812409,5.287107659
7.980679533,138.9747367,6.789561997,5.284982863
8.213370044,141.2781931,6.792089273,5.283080472
8.446263743,143.581486,6.794397873,5.281396843
8.679357159,145.8846172,6.796491433,5.279928336
8.912646819,148.1875885,6.79837359,5.278671308
9.14612925,150.4904018,6.80004798,5.27762212
9.379800982,152.7930589,6.80151824,5.276777129
9.613658541,155.0955617,6.802788006,5.276132695
9.847698455,157.3979118,6.803860915,5.275685176
10.08191725,159.7001112,6.804740604,5.275430933
10.31631146,162.0021617,6.805430709,5.275366323
10.55087761,164.3040651,6.805934866,5.275487706
10.78561223,166.6058232,6.806256714,5.275791441
11.02051184,168.9074379,6.806399887,5.276273887
11.25557297,171.2089109,6.806368024,5.276341904
11.49079215,173.5102441,6.806164761,5.27622756
11.72616592,175.8114393,6.805793735,5.276281057
11.96169079,178.1124984,6.805258582,5.276498756
12.19736329,180.4134231,6.804562941,5.276877014
12.43317995,182.7142153,6.803710448,5.277412191
12.66913731,185.0148768,6.80270474,5.278100645
12.90523188,187.3154094,6.801549454,5.278938735
13.1414602,189.6158149,6.800248227,5.279922821
13.37781879,191.9160952,6.798804698,5.28104926
13.61430418,194.2162521,6.797222502,5.282314414
13.85091291,196.5162874,6.795505277,5.283714639
14.08764149,198.816203,6.793656661,5.285246296
14.32448645,201.1160005,6.791680291,5.286905744
14.56144433,203.415682,6.789579805,5.289798664
14.79851165,205.7152491,6.78735884,5.294086053
15.03568494,208.0147038,6.785021034,5.298490198
15.27296072,210.3140478,6.782570024,5.30300746
15.51033553,212.613283,6.780009448,5.307634201
15.74780589,214.9124111,6.777342944,5.31236678
15.98536833,217.2114341,6.774574149,5.317201559
16.22301938,219.5103537,6.771706703,5.322134899
16.46075556,221.8091717,6.768744241,5.327163161
16.69857341,224.10789,6.765690403,5.332282705
16.93646945,226.4065104,6.762548826,5.337489894
17.17444021,228.7050347,6.759925354,5.342781087
17.41248222,231.0034647,6.759386745,5.348152646
17.650592,233.3018023,6.758771224,5.349086257
17.88876609,235.6000493,6.758082429,5.347433154
18.127001,237.8982075,6.757324001,5.34584978
18.36529328,240.1962787,6.756499581,5.344332493
18.60363944,242.4942648,6.755612807,5.342877649
18.84203601,244.7921675,6.754667321,5.341481606
19.08047953,247.0899887,6.753666763,5.340140719
19.31896652,249.3877302,6.752614772,5.338851347
19.55749351,251.6853939,6.75151499,5.337609846
19.79605702,253.9829815,6.750371056,5.336412572
20.03465359,256.2804949,6.749186611,5.335255884
20.27327974,258.5779359,6.747965295,5.334136138
20.511932,260.8753063,6.746710749,5.338999508
20.75060689,263.172608,6.745426614,5.354016263
20.98930096,265.4698427,6.74411653,5.369058526
21.22801071,267.7670123,6.742784138,5.384122663
21.46673269,270.0641186,6.741433078,5.399205042
21.70546341,272.3611635,6.740066992,5.414302029
21.94419941,274.6581487,6.73868952,5.429409992
22.18293722,276.9550761,6.737304303,5.444525297
22.42167336,279.2519474,6.735914982,5.459644312
22.66040436,281.5487646,6.734525198,5.474763404
22.89912675,283.8455295,6.733138592,5.468868495
23.13783705,286.1422438,6.731758805,5.462860651
23.3765318,288.4389093,6.730389478,5.456842522
23.61520752,290.735528,6.729034252,5.450810465
23.85386074,293.0321017,6.727696769,5.444760832
24.09248799,295.328632,6.72638067,5.438689979
24.33108579,297.625121,6.725089596,5.432594261
24.56965068,299.9215703,6.723827189,5.42647003
24.80817918,302.2179819,6.72259709,5.420313643
25.04666781,304.5143574,6.72140294,5.414121454
25.28511312,306.8106989,6.720248381,5.407889818
25.52351162,309.107008,6.719076599,5.405025
25.76185984,311.4032867,6.716460343,5.411542239
26.00015431,313.6995366,6.71389462,5.418008857
26.23839156,315.9957597,6.711383068,5.424421218
26.47656812,318.2919578,6.70892933,5.430775685
26.71468051,320.5881327,6.706537047,5.437068621
26.95272527,322.8842862,6.704209858,5.443296389
27.19069891,325.1804201,6.701951405,5.449455352
27.42859797,327.4765363,6.69976533,5.455541872
27.66641898,329.7726366,6.697655273,5.461552315
27.90415846,332.0687227,6.695624874,5.467483042
28.14181294,334.3647966,6.693677776,5.472192556
28.37937895,336.66086,6.69181762,5.470790765
28.61685302,338.9569148,6.690048047,5.469298433
28.85423168,341.2529628,6.688372697,5.467711919
29.09151145,343.5490058,6.686795213,5.466027581
29.32868885,345.8450456,6.685319235,5.464241779
29.56576043,348.1410841,6.683948406,5.462350871
29.8027227,350.4371231,6.682686367,5.460351217
30.0395722,352.7331644,6.681536758,5.458239175
30.27630545,355.0292097,6.680503223,5.456011106
30.51291898,357.3252611,6.679589402,5.453663367
30.74940932,359.6213202,6.678798937,5.451192319
30.98577299,361.9173888,6.67813547,5.450345545
31.22200653,364.2134689,6.677602642,5.457848356
31.45810646,366.5095622,6.677204096,5.465216892
31.69406931,368.8056706,6.676943474,5.47244752
31.92989161,371.1017958,6.676824416,5.479536605
32.16556988,373.3979398,6.676850566,5.486480514
32.40110065,375.6941042,6.677025565,5.493275612
32.63648046,377.990291,6.677353055,5.499918265
32.87170582,380.286502,6.677836679,5.506404841
33.10677328,382.5827389,6.678480079,5.512731705
33.34167934,384.8790037,6.679286897,5.518895223
33.57642055,387.1752981,6.680260775,5.524891762
33.81099343,389.4716239,6.681405355,5.530717688
34.04539451,391.767983,6.682724281,5.530520861
34.27962031,394.0643772,6.684221195,5.522539381
34.51366737,396.3608083,6.685899738,5.514376327
34.74753221,398.6572781,6.685406899,5.506028057
34.98121135,400.9537886,6.674757935,5.497490928
35.21470134,403.2503413,6.664301352,5.488761299
35.44799869,405.5469383,6.654040785,5.479835526
35.68109994,407.8435813,6.643979867,5.470709967
35.9140016,410.1402722,6.634122235,5.46138098
36.14670022,412.4370127,6.624471521,5.451844922
36.37919231,414.7338048,6.615031362,5.44209815
36.61147441,417.0306501,6.60580539,5.438041244
36.84354304,419.3275506,6.596797242,5.44838776
37.07539473,421.624508,6.588010551,5.458512869
37.307026,423.9215242,6.579448951,5.468412944
37.5384334,426.218601,6.571116079,5.478084356
37.76961344,428.5157402,6.563015569,5.487523476
38.00056265,430.8129437,6.555151054,5.496726678
38.23127756,433.1102133,6.547526171,5.505690333
38.4617547,435.4075507,6.540144554,5.514410812
38.69199059,437.7049578,6.533009837,5.522884489
38.92198177,440.0024365,6.526125657,5.531107734
39.15172476,442.2999885,6.519495646,5.539076921
39.38121608,444.5976157,6.513123442,5.551830884
39.61045228,446.8953199,6.507012678,5.565016528
39.83942987,449.193103,6.50116699,5.577937328
40.06814538,451.4909666,6.495590012,5.59058966
40.29659535,453.7889128,6.490285381,5.602969902
40.52477629,456.0869432,6.485256731,5.615074428
40.75268474,458.3850597,6.480507697,5.626899616
40.98031722,460.6832641,6.476041915,5.638441842
41.20767026,462.9815583,6.47186302,5.649697482
41.4347404,465.2799441,6.467974648,5.660662914
41.66152415,467.5784233,6.464380434,5.671334515
41.88801805,469.8769977,6.461084013,5.68170866
42.11421862,472.1756691,6.458089021,5.692930568
42.34012239,474.4744394,6.455399094,5.704474692
42.5657259,476.7733104,6.453017867,5.715710535
42.79102566,479.0722839,6.450948977,5.726634475
43.0160182,481.3713617,6.449196059,5.737242891
43.24070006,483.6705456,6.447762749,5.747532161
43.46506776,485.9698375,6.446652683,5.757498664
43.68911783,488.2692393,6.445869497,5.767138777
43.91284679,490.5687526,6.445416827,5.77644888
44.13625118,492.8683794,6.44529831,5.785425351
44.35932752,495.1681214,6.445517582,5.794064569
44.58207234,497.4679805,6.446078278,5.802886314
44.80448217,499.7679585,6.437052867,5.815664937
45.02655354,502.0680573,6.400650914,5.828095593
45.24828297,504.3682785,6.364599852,5.840174666
45.46966699,506.6686242,6.328903293,5.851898538
45.69070213,508.969096,6.293564845,5.863263591
45.91138492,511.2696959,6.258588119,5.874266209
46.13171188,513.5704256,6.223976725,5.884902772
46.35167955,515.8712869,6.189734272,5.895169665
46.57128444,518.1722817,6.155864369,5.90506327
46.7905231,520.4734119,6.122370627,5.914579969
47.00939204,522.7746791,6.089256655,5.923716145
47.2278878,525.0760853,6.056526061,5.935351657
47.4460069,527.3776323,6.024182456,5.946757572
47.66374587,529.6793218,5.992229447,5.95777223
47.88110124,531.9811558,5.960670645,5.968392019
48.09806954,534.2831359,5.929509659,5.978613322
48.31464728,536.5852642,5.898750097,5.988432526
48.53083102,538.8875423,5.868395568,5.997846015
48.74661726,541.1899721,5.83844968,6.006850175
48.96200253,543.4925554,5.808916044,6.015441391
