# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.759314497,0.643098989,6.341990359,5.800890038
4.65118062,103.4818598,6.49603472,5.567815345
19.41412981,248.5865986,6.575611678,5.516652123
20.66054942,260.3304007,6.542872661,5.539706422
24.68788262,298.9984783,6.511342032,5.641853576
32.13180771,371.7776734,6.544981549,5.613472015
36.06946336,409.7155085,6.438337008,5.660548274
40.52674767,457.2563269,6.596305533,5.507592228
45.12700697,508.5765026,6.823928869,5.337514623
50.9517926,572.5951496,6.165811861,5.440448653
55.79579895,626.748316,5.535969047,5.428856309
57.94931586,650.5404966,4.937335635,5.361402037
61.31356763,688.2783258,4.721063402,5.328411347
64.96069518,729.1494007,4.731343818,5.290252281
68.16259968,763.9451946,4.711453593,5.304695714
72.28760774,807.9740785,4.606996019,5.436460106
79.69348022,899.2916087,5.387801621,4.560009888
80.77406706,912.7204301,5.510166982,4.465600181
81.19826746,916.9117975,5.462883984,4.526887159
81.78789778,919.8172081,5.350775449,4.794166136
82.89115701,922.6370423,4.981714998,5.28736326
84.03286801,925.0089395,5.278889227,5.428854275
85.77727572,926.9296019,5.302168922,5.631877617
88.61390512,928.7224754,4.884650385,5.726232446
91.87190577,930.1074316,5.02308242,4.975867459
96.57004851,930.1475301,4.880227327,5.368835083
103.0550535,929.9642698,5.249750459,4.959759402
109.1136287,929.2830546,5.067033505,4.948012005
114.4908117,929.2764819,5.193507235,5.072938148
118.165887,930.4958356,5.491195694,5.008769263
121.5013913,932.270921,5.174453417,5.207459416
123.547597,934.1938085,5.073971458,5.39088478
125.5174239,937.4871407,5.344842533,5.271211193
126.6453631,941.2017044,5.430470113,4.994095874
126.5650362,945.0307255,5.736828232,4.616187234
125.4485105,951.6472987,4.909638519,5.248471756
123.9458023,957.8070493,4.96704644,5.029593291
117.529553,981.9469971,5.024551508,5.023317414
108.3113377,1016.550306,4.965606725,5.105414219
102.9178861,1038.405134,5.012122112,5.138689893
98.54193088,1062.361846,4.740872831,5.252966661
96.81682691,1081.069086,4.896692732,5.136508562
96.40480202,1098.063536,5.283390419,4.799096274
97.22915167,1125.257906,4.925615472,5.184575599
99.8334729,1159.41016,5.099900836,4.980419441
102.3151145,1192.52654,5.257308603,4.728596775
104.4425958,1221.45044,5.481116991,4.487479464
108.4597329,1257.409066,5.394416248,4.887525683
112.5979322,1279.447413,5.037595925,4.995453035
116.6329175,1293.819929,4.692713421,5.312679105
122.4588503,1312.167173,5.074623677,5.081038736
128.7136302,1328.124806,4.999811226,5.083622484
140.6268261,1352.656311,4.857817904,5.158966901
149.6611998,1368.023689,4.824485878,5.274538401
161.484603,1385.458644,4.796307833,5.350257052
175.2271338,1403.278159,5.129821192,4.994288093
189.9846701,1418.863718,4.849758486,5.220076071
206.7072886,1433.75913,4.503601892,5.647393981
223.080753,1447.410858,4.936252446,5.239720989
243.0667319,1460.672712,4.136867473,5.909036351
273.5478128,1480.059188,5.162935826,4.747065044
299.0618212,1492.452179,4.974217417,5.013706208
322.0098525,1501.808596,5.099021679,4.816661417
346.7285144,1509.873661,4.848206455,5.058510797
373.1374038,1517.0698,5.143173909,4.70902387
404.117819,1522.144542,4.560027261,5.290876679
438.3842615,1526.084779,4.733502009,5.186844287
472.6402582,1529.045052,4.739363006,5.200833162
514.6854772,1533.12306,5.304660098,4.658461765
561.3958542,1536.751622,4.949780244,5.033097007
594.8877081,1539.951343,5.298485136,4.671865977
630.0001405,1542.884653,5.58088916,4.441772842
667.9261675,1544.48126,4.664832044,5.29562888
709.1978951,1547.297859,5.172271436,4.764913327
749.1840258,1549.755523,5.39574736,4.466820813
789.0004238,1551.815537,5.219935178,4.704127384
808.5589163,1553.107346,5.380588162,4.499624928
816.085156,1553.775208,5.476009841,4.362054536
820.0365193,1554.108056,4.92265115,4.949936063
823.0032652,1555.341071,4.795929299,5.367107516
825.1082691,1557.037458,4.933380091,5.672883186
826.7843138,1559.24729,5.090965733,5.471560433
828.1253335,1562.210658,5.02624138,5.026749491
829.8264533,1567.696034,4.994670829,4.749244736
835.6324417,1584.754628,4.847941438,5.300124002
837.6808556,1589.669842,4.98655094,5.404514796
839.952558,1592.574429,4.829400199,5.586244608
842.3808945,1594.408663,4.475849759,5.639312229
845.8204448,1595.840682,4.141480454,5.752681675
850.9659566,1596.762792,4.16546713,5.899482166
861.001768,1598.466945,4.366606402,5.742253587
879.8103051,1602.127425,4.364160121,5.679164289
912.4121701,1610.401341,4.642716448,5.322490624
939.4153553,1618.993677,4.525854272,5.328206681
956.5084968,1624.662462,4.601908502,5.412117086
974.321807,1630.80722,4.701151106,5.268980939
998.0651083,1638.703543,4.721711417,5.356662092
1020.679976,1646.239655,4.759151551,5.435234788
1047.309224,1655.590447,5.158522513,4.956163444
1085.060444,1668.272111,5.170106302,4.790397423
1116.222473,1678.296374,4.906091465,5.061001563
1138.433359,1684.742537,4.759027222,5.24078139
1147.614373,1686.079096,4.682546509,5.301388895
1157.193376,1685.777429,4.546217799,5.600261702
1167.500443,1684.344432,4.472296076,5.567522151
1179.777179,1681.121212,4.645686447,5.208835152
1189.361134,1676.372535,4.659501866,5.423324564
1198.108284,1670.556696,4.61362255,5.429107965
1210.587368,1658.435036,4.605315961,5.359775035
1218.19954,1646.920506,4.764543599,5.395514214
1224.131702,1633.019245,4.81535283,5.125977095
1225.822752,1625.385948,4.885296007,5.061321885
1227.183079,1617.050135,5.022551878,4.911076097
1228.298293,1606.867005,5.131140861,4.913358152
1229.477958,1593.422849,5.07068641,5.009725465
1232.481339,1560.413731,5.038115844,5.031761249
1235.792453,1522.517578,4.862675896,5.087828561
1239.567795,1482.035121,4.930047317,5.063295186
1242.567407,1447.922369,4.816307492,5.174496507
1245.983389,1411.112069,4.917887834,5.085146037
1248.541765,1386.479017,5.142184967,4.868593725
1248.798485,1379.441218,4.995414398,5.28091836
1247.908471,1371.644055,4.980778609,5.303916819
1245.878934,1365.130395,4.932797971,5.300358461
1242.030998,1358.912005,5.022087157,5.029152559
1238.117042,1355.251104,5.55566693,4.568206641
1232.172281,1350.689513,5.283708615,4.345877639
1224.431135,1345.869777,4.896622671,4.593617717
1211.539105,1338.9206,4.99682532,4.310873056
1185.156466,1324.186237,4.843283952,4.318187408
1164.33938,1312.661927,4.858836362,4.238656914
1134.748958,1296.175542,4.791595342,4.239675866
1105.578328,1280.189556,4.986748518,4.061678487
1073.952265,1263.120709,5.377369968,3.696566621
1044.442211,1246.444725,5.09495406,3.94070389
1016.098491,1230.693817,5.050343861,3.980884872
992.1965993,1216.992185,4.712026718,4.381422665
962.8484968,1201.176893,5.068433376,3.874327515
930.3690641,1181.308843,4.051456874,4.968004902
908.6491684,1168.618333,4.801053824,4.045762795
890.0761581,1155.794802,4.825815317,3.98885883
872.2667442,1141.264157,3.854414062,4.847881195
854.0181444,1126.610149,4.0913668,4.679407729
834.8248909,1109.589727,3.783832148,4.934124864
817.8196981,1095.064874,4.097676698,4.704855331
793.9997596,1074.578476,4.337006217,4.447990134
768.8265585,1052.553725,4.321769915,4.576386017
745.6265461,1033.192399,4.983292768,3.857297346
718.026061,1009.215946,5.106648529,3.787910106
